tab	magic_measurements
treatment_dc_field_theta	measurement_temp	er_citation_names	magic_method_codes	treatment_temp	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_dc_field_phi	measurement_inc	er_location_name	measurement_dec	magic_experiment_name	measurement_flag	er_specimen_name	treatment_dc_field	er_analyst_mail_names	measurement_magn_moment
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	12	u	ET1	ET1	0	-38.21027316	Etna	134.7177571	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	2.352177e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	13	u	ET1	ET1	0	-0.891534357	Etna	136.0603811	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	1.820499e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	14	u	ET1	ET1	0	-33.09062102	Etna	135.486273	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	2.176721e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	15	u	ET1	ET1	0	0.826741383	Etna	137.0294517	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	0	Biggin	1.516990e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	16	u	ET1	ET1	0	-56.27232031	Etna	134.6609757	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	2.771146e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	17	u	ET1	ET1	0	-6.437640476	Etna	136.2308433	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	1.492860e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	18	u	ET1	ET1	0	-54.22712483	Etna	134.2926806	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	2.523246e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	19	u	ET1	ET1	0	1.371988628	Etna	138.2214215	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	0	Biggin	1.183047e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	20	u	ET1	ET1	0	-74.54562969	Etna	128.345575	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	4.127794e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	21	u	ET1	ET1	0	-24.87615614	Etna	137.3735958	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	1.163108e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	22	u	ET1	ET1	0	-71.88672155	Etna	129.3824194	ET1_279BS:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_279BS	5.000e-05	Biggin	3.589924e-08
0	273.	This study	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	273.	0	u	ET1	ET1	0	-13.98841781	Etna	134.0387516	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	5.592837e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	1	u	ET1	ET1	0	-14.23107807	Etna	133.0044387	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	5.394640e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	2	u	ET1	ET1	0	-18.25352458	Etna	133.1912607	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.467199e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	3	u	ET1	ET1	0	-14.80786102	Etna	132.939889	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	5.239321e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	4	u	ET1	ET1	0	-19.62129599	Etna	132.8173697	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.329638e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	5	u	ET1	ET1	0	-15.05097889	Etna	132.6354494	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.255764e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	6	u	ET1	ET1	0	-17.95979954	Etna	133.9658925	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.303054e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	7	u	ET1	ET1	0	-14.5969072	Etna	134.2614213	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	5.108998e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	8	u	ET1	ET1	0	-21.42750937	Etna	132.4551956	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.286632e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	9	u	ET1	ET1	0	-15.59666402	Etna	133.9430022	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.124097e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	10	u	ET1	ET1	0	-19.4339112	Etna	133.8265076	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.185523e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	11	u	ET1	ET1	0	-14.61601936	Etna	134.3464643	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	4.949389e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	12	u	ET1	ET1	0	-24.12852737	Etna	133.5253848	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.039540e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	13	u	ET1	ET1	0	-14.98997973	Etna	132.9865245	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.828640e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	14	u	ET1	ET1	0	-21.29654901	Etna	133.5540058	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	5.034011e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	15	u	ET1	ET1	0	-15.63042198	Etna	133.3293467	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	4.539850e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	16	u	ET1	ET1	0	-26.18255543	Etna	132.8524146	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.873204e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	17	u	ET1	ET1	0	-16.60392071	Etna	133.0666993	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.505817e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	18	u	ET1	ET1	0	-24.28052533	Etna	132.6997149	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.728080e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	19	u	ET1	ET1	0	-15.34558882	Etna	133.3191164	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	4.184158e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	20	u	ET1	ET1	0	-31.07646424	Etna	132.285979	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.714386e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	21	u	ET1	ET1	0	-16.71123605	Etna	133.9536181	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.164260e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	22	u	ET1	ET1	0	-27.65245556	Etna	133.0340975	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.494305e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	7.230e+02	23	u	ET1	ET1	0	-14.86337035	Etna	132.6745456	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	0	Biggin	3.714367e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	7.230e+02	24	u	ET1	ET1	0	-39.00941578	Etna	132.6015787	ET1_283E:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_283E	5.000e-05	Biggin	4.479711e-08
0	273.	This study	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	273.	0	u	ET1	ET1	0	35.61652797	Etna	135.7552678	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	5.947417e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	1	u	ET1	ET1	0	31.42770294	Etna	140.5512684	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	4.963320e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	2	u	ET1	ET1	0	6.75909385	Etna	139.553768	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	4.157108e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	3	u	ET1	ET1	0	29.87097885	Etna	140.7927965	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	4.368987e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	4	u	ET1	ET1	0	-5.665829075	Etna	139.3106258	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	3.651666e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	5	u	ET1	ET1	0	25.23967532	Etna	140.7105931	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	4.046202e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	6	u	ET1	ET1	0	4.834717302	Etna	139.5739213	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	3.666436e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	7	u	ET1	ET1	0	29.62578201	Etna	140.8124824	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	3.516251e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	8	u	ET1	ET1	0	-37.20188801	Etna	137.4895529	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	3.684050e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	9	u	ET1	ET1	0	22.04404065	Etna	141.1411106	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	3.121810e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	10	u	ET1	ET1	0	-14.03087292	Etna	139.34324	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	2.974001e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	11	u	ET1	ET1	0	29.03447518	Etna	140.7992176	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	2.679445e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	12	u	ET1	ET1	0	-59.79444455	Etna	136.6917886	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	4.290728e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	13	u	ET1	ET1	0	27.06836027	Etna	140.8560136	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	2.405041e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.230e+02	14	u	ET1	ET1	0	-54.95467708	Etna	134.766141	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	3.884534e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	15	u	ET1	ET1	0	26.36140867	Etna	140.9881484	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	1.899298e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	16	u	ET1	ET1	0	-75.40475447	Etna	136.016978	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	6.106948e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	17	u	ET1	ET1	0	15.75761674	Etna	141.1476136	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	1.678378e-08
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	5.730e+02	18	u	ET1	ET1	0	-74.84352969	Etna	131.9872125	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	5.962784e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	19	u	ET1	ET1	0	29.46956369	Etna	142.1696839	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	0	Biggin	1.164649e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	20	u	ET1	ET1	0	-84.4995184	Etna	115.1148349	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	9.494372e-08
90	273.	This study	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.730e+02	21	u	ET1	ET1	0	-14.99035436	Etna	139.4998371	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	9.009923e-09
90	273.	This study	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	6.230e+02	22	u	ET1	ET1	0	-84.46083074	Etna	122.1957339	ET1_287D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_287D	5.000e-05	Biggin	8.511859e-08
0	273.	This study	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	273.	0	u	ET1	ET1	0	39.52278726	Etna	137.1669147	ET1_289D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_289D	0	Biggin	6.555274e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	1	u	ET1	ET1	0	39.12975496	Etna	136.785621	ET1_289D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_289D	0	Biggin	4.896587e-08
90	273.	This study	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.230e+02	2	u	ET1	ET1	0	16.22780728	Etna	135.4161848	ET1_289D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_289D	5.000e-05	Biggin	3.916242e-08
0	273.	This study	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	4.730e+02	3	u	ET1	ET1	0	37.85380638	Etna	137.6377778	ET1_289D:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	g	ET1_289D	0	Biggin	4.259336e-08
